Name,Age,Hobby
4_167_6047357475243311195749966830060800667263941910488732018287967066324530972613526219174979498311272421092685112753955335008942981621845955518644828358374186348044946682347463732773959354115763056161387688152937532823269186079405153922252209585009453790290090519628109721582744105120399250130818419128619472696586331431383491386869749637032300352694415304541915123221521234106349103747649278355667090199878867143216022730825108370090737632491413609608922623195118241111712702636591190245582981398911481182415469759312432058052904740046893378859374827237281183233791641354447356658621539046556205445533285970663305916126,17,Soccer
3_167_8109070934009689455316654284263101118224197680793370500557467656847468002874159132757936621048524360032437921740086671477617726198399313165480729501784549234029552587660252905238027684004249012599873232539638002215489500520117453620966802998058254787845708465351681587729788423007337644917513821090283964569563139397475930160920303584858170733188071140033962577861121017259250985847718056553800616630335565621100453072040852235619546772705418168499549763971371393500740550389374294479012819119551555924035255665652614107198948809121456863784188257044384414951408050049275653536349947020744478240906719075127145173591,18,Baseball
8_167_5054077899757837861899099054093731982189973054857970280507902329073804377254649246930763280362549378171058644939160220126246273291598745872332508161452248072400818916992361591820343888501472330615871381819561014648288581711021708400551291829258947572883767251874434968992891663415529876644453975453208513459376630805490561011045910547206348723431162347310684311638766332773779952213620002831716627843110714152873043766390249581315857927561326795866304203795502011220523667363636535958390058627270128389804934307108279865251175199519897795823250135397223019267510353134339213160350725322338168068864812946847101446332,26,Basketball
5_167_3685989453422403736041203525141511244153532341601826996847722484731519587263919402367717621863520991984470219333022052357742354190031233572909284989807795995023722935733779142027881960627652254962308049783901945791366581183554471104473535215600878049698856810236049949082491919716504779187699383898958275257699431674536365275920921956314792063316292586167607478516895578327453038055225098277476966661073583791150900571291404967545352518292047484684801495398157133859609185706438183593010277064336269620400389078989140645909792419142874367990800863833190158058989859433199280431135662462909878065310937317187033930528,28,Basketball
7_167_3895271097348692752400901255057369657259953283157158180846253626312892649607241231411759482311485710254701226487130930100677194195373725178899150366150324184342684165561315654329559260742854182861336621784366517210129228107687941466078744213083889481250455783192271834468343660039223655396800028342225901603687649647871747163243519903387429957016001727369360767704888140966669116690649369711144989193544106894509266469789185316777819874064177972321061393649504337227418838229797002839436706963126234591453743250415987685170331793280168831522055767337364488637014507240617885397548508105437708732589012130072691339184,31,Soccer
4_167_786015196129985614786963893722996320413360773757062462755284781266018698609657468323629071349611528109002897681316886013560122272575396866963972710190916311186067787235920073967808517118326458139342585538004021084962702857361052783434815427712525156780102422777291864147834670406174201033249604876754331934340038587530981792901200890592116877633928099837231243946097515581555913030729139698470673968936868125765382358085846833804469927889861452132310877914796218444948049487705536968319396496154829078749658997109270950224918385683519466201427631593067330465830903768028853219690059758816691653623047611577746249721,37,Soccer
7_167_3568973684096199015950738448929393294333473219007087508259551133018929349679402397705475283567315642458551189635718294285499484998715933786553033312007264498727235351306265030331314376233770552055088051466710407088467610055067254983800296463194180735967869337119482927396214169188837548248835791458408811230754495548118897784668495746470316758893745720845247413641066278634392784975196813571205832387819853429767540987869595306099578841512083157324152012389557466705079840441872741493715192270454995607287742439034569380833816933634836542500270313158731327886456310348258634411911335935549951741331752468249850275600,35,Soccer
6_167_4769927979323782891518696866993779097673857774537530529356362815791283526459935281881696730196385787454595614228349647204860083342490247718022995810617443019910272755790390900367205960405903997456550245157421284960760764992308831504413917496022762134970076929951673446786887259201076523532873389535883884415195573323287602609896387650173373356427645452535356463622890374077493220057528386103035882875843662704369043046551754289075219410426377295585521257123050690669881460599293848391206875937463500631966957834735713421454454687963344970379284800325675912255330674022823850434929376269043310025001085700337554869301,15,Baseball
7_167_2396486457029450291545796122559383199659267690001202283274184921962676311247698308702251564221139025253879274528391785434404560121511563087875311090779663641003584649160241795795255495499878088015265127557937938237309885345727115343460373804927596503970812593285622019377463652555836123786168398160738390109850124191353516325676950016896197823311599193074623394385596265654013589990295787870807652936791286987255992885702207802978615037837432110776835337332198182580598554186154815623653399157786691374080580704672794623303805031547333098472685862532442188724231665309585575108950314649501255841874455030673913788616,11,Baseball
4_167_4633909983755925228738356248209699543113107981374582913653429439687885862455571149629199030187482882875829781300047703135517310249883456639990424498059169677761722089495520480966567535854665829667133079128527339049001206058791910437712276780968348243752387371194817863364085412444642361994071073139631382417227802693981254728435208049437385630844455706925671860146593787337658981075635239650251100585433662044150044393475463839751016633162404364007901971353415051183873395759441070053377015027935971353448578614775513357643422621387723287673930227675712321469482171188979184943979072799568569757623928274254630997905,25,Basketball
